Ticker,Date,Close,Signal_Label,RF_Final_Signal,RF_Quality_Score,Trigger_Candle_Dir,Trigger_Body_Pct,Trigger_Volume_Surge,Trigger_Candle_Score,Baseline_AVR_EMA,Signal_Quality
TEXRAIL,2017-10-27,98.58,BUY,HIGH_QUALITY_BUY,1.0,1,0.04984,2.2567,0.697,2.3082851735897183,0
TEXRAIL,2017-11-14,102.77,BUY,HIGH_QUALITY_BUY,1.0,1,0.039236,1.714,0.8236,2.353295588150558,0
TEXRAIL,2017-11-16,99.99,BUY,HIGH_QUALITY_BUY,1.0,1,0.012454,2.0263,0.6117,2.378820198009867,0
TEXRAIL,2017-11-28,112.79,BUY,HIGH_QUALITY_BUY,1.0,1,0.118615,5.2495,0.7637,2.695179254650257,0
TEXRAIL,2020-01-30,37.79,BUY,HIGH_QUALITY_BUY,1.0,1,0.083118,7.0167,0.66,2.2765454009019406,0
TEXRAIL,2020-08-03,24.05,SELL,LOW_QUALITY_SELL,0.0,-1,0.052777,5.0916,0.8324,2.202020550790249,0
TEXRAIL,2020-08-24,29.94,BUY,HIGH_QUALITY_BUY,1.0,1,0.148887,4.9006,0.6679,2.907805151485533,0
TEXRAIL,2021-01-05,30.42,BUY,HIGH_QUALITY_BUY,1.0,1,0.057719,3.9913,0.7251,2.0858177823085526,0
TEXRAIL,2021-01-13,31.81,BUY,HIGH_QUALITY_BUY,1.0,1,0.056811,6.5596,0.66,2.3059362549341844,0
TEXRAIL,2021-06-11,30.64,BUY,HIGH_QUALITY_BUY,1.0,1,0.036185,1.6965,0.66,2.0182062230554862,0
TEXRAIL,2021-06-14,31.58,BUY,HIGH_QUALITY_BUY,1.0,1,0.03677,2.4791,0.66,2.090462773240678,0
TEXRAIL,2021-06-29,34.27,BUY,HIGH_QUALITY_BUY,1.0,1,0.024208,3.2371,0.66,2.4534526783700863,0
TEXRAIL,2021-07-08,35.35,BUY,HIGH_QUALITY_BUY,1.0,1,0.036961,7.2063,0.66,2.2370520171922386,0
TEXRAIL,2022-02-04,48.24,BUY,HIGH_QUALITY_BUY,1.0,1,0.078712,1.6971,0.783,2.743402406668257,0
TEXRAIL,2023-06-19,69.66,BUY,HIGH_QUALITY_BUY,1.0,1,0.048623,2.4455,0.8041,2.104731240200538,1
TEXRAIL,2023-06-20,72.93,BUY,HIGH_QUALITY_BUY,1.0,1,0.036674,2.5309,0.6632,2.305671122086201,1
TEXRAIL,2023-07-07,80.37,BUY,HIGH_QUALITY_BUY,1.0,1,0.03184,2.1562,0.7794,2.1608982142615734,1
TEXRAIL,2023-07-27,102.13,BUY,HIGH_QUALITY_BUY,1.0,1,0.071781,3.1644,0.66,2.316069274548834,1
TEXRAIL,2026-05-14,125.26,BUY,HIGH_QUALITY_BUY,1.0,1,0.026805,1.8132,0.66,4.622983456367666,0
TEXRAIL,2026-05-29,104.37,SELL,LOW_QUALITY_SELL,0.0,-1,0.044406,2.3789,0.8417,3.0464914299867774,0
