Ticker,Date,Close,Signal_Label,RF_Final_Signal,RF_Quality_Score,Trigger_Candle_Dir,Trigger_Body_Pct,Trigger_Volume_Surge,Trigger_Candle_Score,Baseline_AVR_EMA,Signal_Quality
ASTRAMICRO,2017-05-09,133.41,BUY,BUY_UNSCORED,0.0,1,0.021047,2.6447,0.8126,2.6933623479438826,0
ASTRAMICRO,2018-04-24,93.53,BUY,BUY_UNSCORED,0.0,1,0.082899,1.7629,0.66,2.582561453460423,0
ASTRAMICRO,2020-02-03,88.41,BUY,BUY_UNSCORED,0.0,1,0.024806,2.7839,0.664,2.5110829012159135,1
ASTRAMICRO,2020-03-11,76.34,SELL,SELL_UNSCORED,0.0,-1,0.02416,3.3458,0.66,2.0458935119939703,0
ASTRAMICRO,2020-03-12,67.9,SELL,SELL_UNSCORED,0.0,-1,0.083176,3.1404,0.66,2.0887893679945444,0
ASTRAMICRO,2020-06-18,91.12,BUY,BUY_UNSCORED,0.0,1,0.042086,1.6341,0.66,2.568372594235053,0
ASTRAMICRO,2020-06-25,95.97,BUY,BUY_UNSCORED,0.0,1,0.025978,4.7278,0.66,3.174818842093479,0
ASTRAMICRO,2020-06-30,102.51,BUY,BUY_UNSCORED,0.0,1,0.086832,1.7934,0.6612,4.344567631780496,0
ASTRAMICRO,2020-07-08,111.04,BUY,BUY_UNSCORED,0.0,1,0.03293,2.3248,0.66,5.172793290621096,0
ASTRAMICRO,2020-07-10,118.65,BUY,BUY_UNSCORED,0.0,1,0.061555,4.0206,0.66,5.517875233365569,0
ASTRAMICRO,2020-08-12,117.0,BUY,BUY_UNSCORED,0.0,1,0.051402,2.5649,0.66,2.4993755051858386,0
ASTRAMICRO,2020-08-13,123.89,BUY,BUY_UNSCORED,0.0,1,0.053218,2.7191,0.6658,2.742415933263378,0
ASTRAMICRO,2021-06-16,176.03,BUY,BUY_UNSCORED,0.0,1,0.073681,1.814,0.66,2.2468120811371874,0
ASTRAMICRO,2022-08-26,353.54,BUY,BUY_UNSCORED,0.0,1,0.072796,2.3088,0.66,2.4689036485753535,0
ASTRAMICRO,2025-05-22,1113.01,BUY,BUY_UNSCORED,0.0,1,0.009689,1.7169,0.5732,2.709051877423173,0
ASTRAMICRO,2025-05-28,1161.15,BUY,BUY_UNSCORED,0.0,1,0.062731,1.6155,0.6822,2.877878137800944,0
ASTRAMICRO,2026-06-05,1419.5,BUY,BUY_UNSCORED,0.0,1,0.018731,1.7223,0.6378,2.9760111512289575,0
ASTRAMICRO,2026-06-17,1574.4,BUY,BUY_UNSCORED,0.0,1,0.063712,3.3603,0.7194,2.4209487345908647,0
ASTRAMICRO,2026-06-18,1670.0,BUY,BUY_UNSCORED,0.0,1,0.050314,2.3081,0.7304,2.6969059979631633,0
