Ticker,Date,Close,Signal_Label,RF_Final_Signal,RF_Quality_Score,Trigger_Candle_Dir,Trigger_Body_Pct,Trigger_Volume_Surge,Trigger_Candle_Score,Baseline_AVR_EMA,Signal_Quality
CGPOWER,2018-06-19,50.53,SELL,LOW_QUALITY_SELL,0.0,-1,0.052681,3.1174,0.6898,2.945582585022347,0
CGPOWER,2018-06-27,49.59,SELL,LOW_QUALITY_SELL,0.0,-1,0.089758,2.2409,0.66,3.3467103352503687,0
CGPOWER,2019-03-01,36.16,BUY,HIGH_QUALITY_BUY,1.0,1,0.127885,2.3811,0.7406,3.8174105791037323,0
CGPOWER,2019-03-11,38.18,BUY,HIGH_QUALITY_BUY,1.0,1,0.107309,2.8737,0.66,3.4036459905149683,0
CGPOWER,2019-03-12,42.13,BUY,HIGH_QUALITY_BUY,1.0,1,0.079703,2.3136,0.6904,3.658689229513543,0
CGPOWER,2020-09-10,22.82,BUY,HIGH_QUALITY_BUY,1.0,1,0.105085,2.0486,0.91,4.386148688303501,1
CGPOWER,2020-12-11,44.06,BUY,HIGH_QUALITY_BUY,1.0,1,0.033544,1.8142,0.66,2.404416103022183,1
CGPOWER,2024-03-21,539.13,BUY,HIGH_QUALITY_BUY,1.0,1,0.061551,2.2115,0.7125,2.1977376380007523,1
