Ticker,Date,Close,Signal_Label,RF_Final_Signal,RF_Quality_Score,Trigger_Candle_Dir,Trigger_Body_Pct,Trigger_Volume_Surge,Trigger_Candle_Score,Baseline_AVR_EMA,Signal_Quality
BALAMINES,2017-11-06,542.39,BUY,HIGH_QUALITY_BUY,1.0,1,0.103967,1.8717,0.7088,5.914672525440228,0
BALAMINES,2017-11-17,584.89,BUY,HIGH_QUALITY_BUY,1.0,1,0.090907,8.8947,0.66,5.037337233906514,0
BALAMINES,2017-11-23,618.81,BUY,HIGH_QUALITY_BUY,1.0,1,0.069052,2.3881,0.66,5.992183179127682,0
BALAMINES,2017-12-04,601.21,BUY,HIGH_QUALITY_BUY,1.0,1,0.073321,2.707,0.66,4.203960809764327,0
BALAMINES,2018-01-11,695.7,BUY,HIGH_QUALITY_BUY,1.0,1,0.027106,1.6126,0.66,2.4738623571969054,0
BALAMINES,2020-04-27,432.83,BUY,HIGH_QUALITY_BUY,1.0,1,0.09519,2.1503,0.66,2.351856495159756,1
BALAMINES,2020-05-15,387.84,BUY,HIGH_QUALITY_BUY,1.0,1,0.013881,2.4174,0.5529,2.1192610184297522,1
BALAMINES,2020-06-26,512.6,BUY,HIGH_QUALITY_BUY,1.0,1,0.145552,13.2421,0.66,3.1591959327334203,1
BALAMINES,2020-07-01,529.24,BUY,HIGH_QUALITY_BUY,1.0,1,0.095644,2.4287,0.66,6.2047783935448155,1
BALAMINES,2020-08-03,604.71,BUY,HIGH_QUALITY_BUY,1.0,1,0.085188,3.2142,0.811,3.300413536673175,1
BALAMINES,2020-08-10,639.49,BUY,HIGH_QUALITY_BUY,1.0,1,0.060672,2.2259,0.7239,3.0557315514829124,1
BALAMINES,2020-08-14,700.49,BUY,HIGH_QUALITY_BUY,1.0,1,0.062137,4.0271,0.66,3.0597205028810253,1
BALAMINES,2020-08-17,805.6,BUY,HIGH_QUALITY_BUY,1.0,1,0.135944,2.5731,0.66,3.8012804549875945,1
BALAMINES,2020-08-26,949.29,BUY,HIGH_QUALITY_BUY,1.0,1,0.058141,1.9927,0.66,4.138949069611606,1
BALAMINES,2020-09-14,856.15,BUY,HIGH_QUALITY_BUY,1.0,1,0.013231,1.8976,0.5982,2.1295040433318793,1
BALAMINES,2023-12-15,2308.76,BUY,HIGH_QUALITY_BUY,1.0,1,0.054113,3.7043,0.672,2.2769811181309914,0
BALAMINES,2023-12-26,2573.81,BUY,HIGH_QUALITY_BUY,1.0,1,0.084893,10.3038,0.7408,2.3738836079299603,0
BALAMINES,2025-07-07,1894.3,BUY,HIGH_QUALITY_BUY,1.0,1,0.064872,2.229,0.7182,3.070283932771297,0
BALAMINES,2026-01-13,1219.76,BUY,HIGH_QUALITY_BUY,1.0,1,0.110326,2.2546,0.699,8.775840556509559,0
BALAMINES,2026-06-03,2111.74,BUY,HIGH_QUALITY_BUY,1.0,1,0.050596,3.0688,0.66,2.6452623506008393,0
BALAMINES,2026-06-18,2198.61,BUY,HIGH_QUALITY_BUY,1.0,1,0.019144,1.6585,0.645,2.088650049927568,0
