Ticker,Date,Open,High,Low,Close,Volume,Volume_MA60,AVR,Stock_Return,Nifty_Return,Abnormal_Return,CAR_10,Vol_Short,Vol_Long,Vol_Ratio,Vol_Spike,Return_Z,Return_Z_Flag,AVR_Zscore,AVR_Zscore_Flag,CAR_10_Zscore,CAR_10_Zscore_Flag,Vol_Spike_Zscore,Vol_Spike_Zscore_Flag,Zscore_Anomaly,IF_Score,IF_Flag,IF_Rank,AVR_Component,CAR_Component,Proximity_Component,Suspicion_Score,Suspicion_Flag
DATAPATTNS,2021-12-24,846.74,854.6,735.76,746.79,13492548,13492548.0,1.0,,-0.004033,,,,,,0,,0,-0.0297,0,,0,-0.1663,0,0,0.2493,0,787,0.0,0.0,0.0,0.0,0
DATAPATTNS,2021-12-27,730.47,733.63,694.71,698.07,2137929,7815238.5,0.2736,-0.065239,0.004852,-0.070091,-0.070091,,,,0,,0,-0.4484,0,-0.9481,0,-0.1663,0,0,0.2508,0,811,0.0,0.0,0.0,0.0,0
DATAPATTNS,2021-12-28,698.07,739.86,694.37,726.61,1586404,5738960.333333333,0.2764,0.040884,0.008603,0.032281,-0.03781,0.07504,0.07504,1.0,0,0.7071,0,-0.4468,0,-0.6004,0,-0.1663,0,0,0.2375,0,662,0.0,0.0,0.0,0.0,0
DATAPATTNS,2021-12-29,739.86,815.04,732.15,778.69,5408945,5656456.5,0.9562,0.071675,-0.00114,0.072815,0.035005,0.071828,0.071828,1.0,0,0.7783,0,-0.0549,0,0.1841,0,-0.1663,0,0,0.2327,0,625,0.0,0.0,0.0,0.0,0
DATAPATTNS,2021-12-30,783.83,805.15,763.65,769.84,1904086,4905982.4,0.3881,-0.011365,-0.000561,-0.010804,0.024201,0.060197,0.060197,1.0,0,-0.3381,0,-0.3824,0,0.0677,0,-0.1663,0,0,0.2628,0,1040,0.0,0.0,0.0,0.0,0
DATAPATTNS,2021-12-31,775.23,784.42,747.88,751.64,980471,4251730.5,0.2306,-0.023641,0.008725,-0.032366,-0.008165,0.054136,0.054136,1.0,0,-0.4822,0,-0.4732,0,-0.281,0,-0.1663,0,0,0.2628,0,1040,0.0,0.0,0.0,0.0,0
DATAPATTNS,2022-01-03,755.69,774.39,749.41,765.14,773259,3754806.0,0.2059,0.017961,0.015653,0.002308,-0.005857,0.038713,0.048832,0.7928,0,0.2645,0,-0.4874,0,-0.2561,0,-0.1663,0,0,0.2647,0,1066,0.0,0.0,0.0,0.0,0
DATAPATTNS,2022-01-04,770.03,775.32,745.06,750.1,448706,3341543.5,0.1343,-0.019657,0.010187,-0.029844,-0.035701,0.039654,0.045545,0.8707,0,-0.4649,0,-0.5287,0,-0.5777,0,-0.1663,0,0,0.2476,0,767,0.0,0.0,0.0,0.0,0
DATAPATTNS,2022-01-05,751.73,780.42,732.45,763.95,953044,3076154.6666666665,0.3098,0.018464,0.00674,0.011724,-0.023977,0.020442,0.04259,0.48,0,0.3482,0,-0.4275,0,-0.4514,0,-0.1663,0,0,0.2628,0,1040,0.0,0.0,0.0,0.0,0
DATAPATTNS,2022-01-06,751.68,765.58,749.95,753.07,276248,2796164.0,0.0988,-0.014242,-0.010005,-0.004237,-0.028214,0.020751,0.040282,0.5151,0,-0.3945,0,-0.5492,0,-0.497,0,-0.1663,0,0,0.2414,0,706,0.0,0.0,0.0,0.0,0
DATAPATTNS,2022-01-07,758.36,760.64,731.21,732.59,425068,2580609.8181818184,0.1647,-0.027195,0.003764,-0.030959,-0.059173,0.021625,0.039058,0.5537,0,-0.6646,0,-0.5112,0,-0.8305,0,-0.1663,0,0,0.2355,0,646,0.0,0.0,0.0,0.0,0
DATAPATTNS,2022-01-10,738.78,766.47,733.88,751.34,561329,2412336.4166666665,0.2327,0.025594,0.0107,0.014894,0.025812,0.023805,0.037927,0.6277,0,0.6431,0,-0.472,0,0.085,0,-0.1663,0,0,0.2402,0,687,0.0,0.0,0.0,0.0,0
DATAPATTNS,2022-01-11,750.75,773.99,740.61,755.0,564979,2270232.0,0.2489,0.004871,0.002913,0.001958,-0.004511,0.022084,0.036177,0.6104,0,0.0929,0,-0.4626,0,-0.2416,0,-0.1663,0,0,0.2654,0,1075,0.0,0.0,0.0,0.0,0
DATAPATTNS,2022-01-12,761.63,768.15,741.84,745.75,232552,2124683.4285714286,0.1095,-0.012252,0.008673,-0.020925,-0.098251,0.020393,0.034847,0.5852,0,-0.3645,0,-0.543,0,-1.2515,0,-0.1663,0,0,0.2178,0,483,0.0,0.1141,1.0,22.85,0
DATAPATTNS,2022-01-13,751.73,751.73,735.36,737.89,189888,1995697.066666667,0.0951,-0.01054,0.002496,-0.013036,-0.100483,0.020021,0.033608,0.5957,0,-0.3037,0,-0.5513,0,-1.2756,0,-0.1663,0,0,0.211,0,434,0.0,0.128,1.0,23.2,0
DATAPATTNS,2022-01-14,739.86,756.09,727.06,730.57,322468,1891120.25,0.1705,-0.00992,-0.000112,-0.009808,-0.077925,0.016104,0.03248,0.4958,0,-0.2754,0,-0.5078,0,-1.0325,0,-0.1663,0,0,0.2345,0,639,0.0,0.0,0.9,18.0,0
DATAPATTNS,2022-01-17,741.84,824.93,734.38,805.54,2841269,1947011.3529411764,1.4593,0.102619,0.002868,0.099751,0.019518,0.049486,0.040686,1.2163,0,2.387,0,0.2351,0,0.0172,0,-0.1663,0,0,0.0974,0,109,0.0,0.0,0.8,16.0,0
DATAPATTNS,2022-01-18,812.71,815.53,764.15,771.57,823370,1884586.8333333333,0.4369,-0.04217,-0.010654,-0.031516,0.017846,0.055935,0.041056,1.3624,0,-1.0928,0,-0.3543,0,-0.0008,0,-0.1663,0,0,0.2262,0,556,0.0,0.0,0.7,14.0,0
