Date,Open,High,Low,Close,Volume
2016-06-27,35.98,36.7,35.98,36.6,5639384
2016-06-28,36.29,37.07,36.17,36.9,3333569
2016-06-29,37.05,37.17,36.64,36.92,3160000
2016-06-30,36.99,37.87,36.92,37.67,7215480
2016-07-01,37.76,38.24,37.55,37.77,5498631
2016-07-04,37.81,39.08,37.69,38.91,4278928
2016-07-05,38.82,39.09,38.0,38.15,2133872
2016-07-07,38.5,38.88,38.25,38.58,3769506
2016-07-08,38.87,39.1,38.14,38.46,3871273
2016-07-11,38.65,38.94,38.23,38.36,3517697
2016-07-12,38.44,38.8,37.94,38.13,3197661
2016-07-13,38.37,38.44,37.45,37.8,3991752
2016-07-14,37.74,38.05,37.25,37.67,1630866
2016-07-15,37.74,37.92,36.8,36.9,2883385
2016-07-18,36.9,38.5,36.86,37.95,4900921
2016-07-19,38.18,38.88,38.0,38.39,5529675
2016-07-20,38.64,38.64,38.01,38.15,2597724
2016-07-21,38.14,38.38,37.37,37.54,3295618
2016-07-22,37.61,38.61,36.99,38.17,4333587
2016-07-25,38.19,39.13,37.81,38.9,3402174
2016-07-26,39.07,40.05,38.32,38.59,6905113
2016-07-27,38.5,39.05,38.14,38.48,4557660
2016-07-28,38.5,39.8,38.27,39.67,7448464
2016-07-29,39.8,39.89,38.52,38.79,2681824
2016-08-01,39.07,39.45,38.35,38.57,2002933
2016-08-02,38.57,38.95,38.0,38.21,1447117
2016-08-03,38.2,38.5,37.55,37.83,1805671
2016-08-04,37.95,38.91,37.49,38.5,3886199
2016-08-05,38.5,39.19,38.5,38.96,2301047
2016-08-08,39.01,39.73,38.82,39.6,3893450
2016-08-09,39.57,40.33,39.26,39.67,6326729
2016-08-10,39.64,40.2,39.17,39.55,2935939
2016-08-11,39.57,40.13,39.18,39.74,3542649
2016-08-12,39.82,40.65,39.81,40.37,3800974
2016-08-16,40.42,41.34,40.42,41.1,4152957
2016-08-17,41.32,41.45,40.72,41.15,2684152
2016-08-18,41.25,41.55,40.96,41.37,1477783
2016-08-19,41.37,41.9,41.18,41.66,1407339
2016-08-22,41.66,41.66,40.78,41.3,1770739
2016-08-23,41.3,41.59,40.9,41.11,2126698
2016-08-24,41.22,41.29,40.82,41.06,1517237
2016-08-25,41.11,41.66,40.93,41.54,3252254
2016-08-26,41.79,41.97,40.95,41.17,1714376
2016-08-29,41.24,41.34,40.77,41.15,896224
2016-08-30,41.22,41.63,41.09,41.35,1766451
2016-08-31,41.35,42.29,41.28,42.07,4469406
2016-09-01,42.29,43.11,41.53,41.72,7663336
2016-09-02,41.97,42.72,41.88,42.57,4980231
2016-09-06,42.57,42.85,42.12,42.38,2873604
2016-09-07,42.43,43.01,42.29,42.47,3356950
2016-09-08,42.29,42.46,41.88,42.31,2032462
2016-09-09,42.36,43.01,39.99,40.54,5724787
2016-09-12,39.83,40.9,39.41,40.23,4175569
2016-09-14,40.27,41.53,40.18,41.25,9259683
2016-09-15,41.53,42.51,40.71,40.92,7216170
2016-09-16,41.47,41.9,40.98,41.23,3140774
2016-09-19,41.32,41.68,40.8,40.95,1655127
2016-09-20,40.65,41.07,40.33,40.51,1633896
2016-09-21,40.28,41.09,40.19,40.61,3125893
2016-09-22,41.28,41.28,40.38,40.65,2057725
2016-09-23,40.48,41.13,40.48,40.74,2387842
2016-09-26,41.03,41.03,40.37,40.46,1890840
2016-09-27,40.71,40.96,38.75,38.95,4874299
2016-09-28,39.05,39.57,38.31,39.26,8590906
2016-09-29,39.43,39.89,38.14,38.47,6077259
2016-09-30,37.94,38.79,37.87,38.55,2836088
2016-10-03,38.56,39.78,38.56,39.42,4127827
2016-10-04,39.57,40.27,39.45,39.92,4282325
2016-10-05,39.95,40.11,38.46,38.75,6039865
2016-10-06,38.75,39.69,38.44,39.36,5190313
2016-10-07,39.36,40.05,39.12,39.72,2890291
2016-10-10,39.72,40.51,39.37,39.52,3408624
2016-10-13,39.39,39.45,37.62,37.92,6391681
2016-10-14,37.84,38.3,37.26,38.04,7574391
2016-10-17,38.04,38.15,37.32,37.54,4796804
2016-10-18,37.74,38.26,37.65,38.13,3004444
2016-10-19,38.15,38.94,38.07,38.7,2605889
2016-10-20,39.01,39.26,38.38,38.7,3332254
2016-10-21,38.75,39.06,38.36,38.9,1671568
2016-10-24,39.13,39.16,38.52,38.83,1716492
2016-10-25,39.01,39.23,38.44,38.96,1234862
2016-10-26,38.98,39.0,37.71,38.01,2625950
2016-10-27,37.81,39.01,37.37,38.76,5539299
2016-10-28,38.63,39.85,38.5,39.67,4101583
2016-11-01,40.02,40.04,39.45,39.68,3598199
2016-11-02,39.64,39.91,38.83,39.51,3099705
2016-11-03,39.45,39.66,35.99,37.47,35095962
2016-11-04,36.92,37.62,36.51,37.0,5649943
2016-11-07,37.27,37.86,37.05,37.64,3716752
2016-11-08,37.55,37.93,36.71,37.36,5572137
2016-11-09,33.83,37.37,33.64,36.88,4629262
2016-11-10,37.31,37.78,36.7,37.53,2940506
2016-11-11,38.4,39.24,37.11,37.46,12620743
2016-11-15,37.5,37.62,35.79,36.63,3707183
2016-11-16,36.89,37.61,36.49,37.14,4851998
2016-11-17,36.75,37.76,36.54,37.46,2824838
2016-11-18,37.74,38.18,37.24,37.55,3645763
2016-11-21,37.55,38.1,36.21,36.5,7782279
2016-11-22,36.52,37.04,35.6,36.29,4167582
2016-11-23,36.54,36.73,35.69,35.9,4547201
2016-11-24,35.91,36.73,35.05,35.88,9276191
2016-11-25,36.22,36.54,35.85,36.27,1611106
2016-11-28,36.67,37.18,36.12,36.9,2659133
2016-11-29,36.83,37.42,36.67,36.89,2380034
2016-11-30,36.99,37.3,36.8,37.01,1675333
