Date,Open,High,Low,Close,Volume
2020-06-09,82.59,82.59,75.42,77.6,215803
2020-06-10,77.6,80.94,75.9,78.47,195050
2020-06-11,77.55,80.89,73.77,74.69,380630
2020-06-12,70.86,77.07,70.86,74.69,351219
2020-06-15,75.32,79.63,75.32,77.26,488963
2020-06-16,80.55,91.51,79.05,87.2,2554070
2020-06-17,90.15,90.15,83.9,85.74,2085366
2020-06-18,87.44,93.74,85.89,91.12,2368201
2020-06-19,90.73,91.99,88.26,89.86,762332
2020-06-22,91.61,93.93,90.64,92.72,798427
2020-06-23,93.06,95.97,91.65,94.56,860612
2020-06-24,95.39,98.73,91.65,93.88,1251286
2020-06-25,93.54,105.37,86.56,95.97,5430755
2020-06-26,96.89,99.65,95.68,96.36,1074483
2020-06-29,95.1,96.11,91.8,94.08,1144957
2020-06-30,94.32,104.55,93.21,102.51,3165872
2020-07-01,101.78,107.89,100.14,105.76,2945869
2020-07-02,106.15,111.28,103.04,108.13,2725450
2020-07-03,109.2,110.22,104.26,105.81,2046621
2020-07-06,106.63,110.51,103.24,104.84,1198131
2020-07-07,103.77,110.12,102.9,107.12,1631171
2020-07-08,107.5,117.0,106.63,111.04,4348045
2020-07-09,114.0,115.79,111.82,113.71,1316979
2020-07-10,111.77,123.98,110.75,118.65,8991972
2020-07-13,119.23,119.67,110.61,111.67,2305147
2020-07-14,113.42,115.6,107.79,108.96,2433216
2020-07-15,111.77,111.91,102.61,104.3,1036076
2020-07-16,104.69,108.57,103.63,106.87,1752064
2020-07-17,107.6,110.99,105.37,107.5,1681264
2020-07-20,108.28,111.62,107.21,108.28,1013717
2020-07-21,109.1,109.73,104.26,104.84,1127130
2020-07-22,105.66,107.07,102.95,104.16,718853
2020-07-23,104.21,111.43,103.29,109.2,1771568
2020-07-24,108.28,108.28,104.26,105.56,864812
2020-07-27,106.15,106.19,101.78,102.32,533081
2020-07-28,103.14,106.0,100.18,104.74,875098
2020-07-29,107.02,108.91,103.82,105.23,741432
2020-07-30,104.21,106.68,103.24,103.87,513694
2020-07-31,104.21,104.21,102.32,103.04,372005
2020-08-03,102.71,106.15,101.78,104.26,901148
2020-08-04,106.63,107.84,105.27,106.24,768513
2020-08-05,106.73,107.26,104.89,105.27,364747
2020-08-06,105.66,107.12,104.4,105.23,550285
2020-08-07,104.69,107.07,104.21,105.03,453675
2020-08-10,115.36,115.36,109.64,110.94,2439652
2020-08-11,111.48,114.24,108.23,111.53,738373
2020-08-12,111.28,119.48,109.78,117.0,2644381
2020-08-13,117.63,126.31,117.0,123.89,4265752
2020-08-14,124.47,124.47,111.72,117.25,1681750
2020-08-17,118.26,118.85,113.42,113.9,621332
2020-08-18,114.77,121.56,114.14,120.54,1220800
2020-08-19,126.5,127.81,122.33,122.77,2052315
2020-08-20,120.59,123.79,118.85,121.51,837417
2020-08-21,122.43,123.69,121.03,122.82,808537
2020-08-24,123.01,126.02,121.46,122.72,1362051
2020-08-25,123.3,124.47,118.26,120.25,1086652
2020-08-26,120.59,121.37,117.1,117.58,585625
2020-08-27,118.12,126.89,117.39,124.86,2361600
2020-08-28,126.02,130.77,123.11,124.61,3070266
2020-08-31,125.05,126.02,115.36,120.98,1232479
2020-09-01,121.37,122.25,115.84,119.51,524545
2020-09-02,119.9,121.08,118.63,118.97,290150
2020-09-03,118.53,121.52,116.57,117.36,390511
2020-09-04,114.27,120.64,114.13,118.92,1322368
2020-09-07,119.36,120.19,116.48,117.01,422635
2020-09-08,117.45,120.98,115.59,116.33,599443
2020-09-09,115.5,116.72,108.45,112.27,953694
2020-09-10,112.56,119.9,112.56,119.36,917984
2020-09-11,119.07,121.37,118.48,119.61,604628
2020-09-14,120.93,121.86,116.72,119.41,390757
2020-09-15,121.86,125.68,119.95,124.16,1889961
2020-09-16,124.26,124.94,120.44,122.45,563367
2020-09-17,122.79,122.79,119.02,120.88,352962
2020-09-18,119.41,124.55,116.38,120.1,1036886
2020-09-21,119.9,123.03,117.6,118.63,675747
2020-09-22,118.43,119.26,111.09,117.41,623197
2020-09-23,118.43,120.78,113.54,115.59,307912
2020-09-24,113.64,114.52,111.92,112.56,291751
2020-09-25,114.27,115.64,111.58,114.32,234658
2020-09-28,116.48,118.87,115.2,117.55,247504
2020-09-29,119.51,121.76,115.3,116.18,343390
2020-09-30,116.48,117.26,113.98,114.37,291206
2020-10-01,115.4,116.23,110.6,111.78,743189
2020-10-05,112.51,114.22,109.97,110.5,291850
2020-10-06,111.19,114.32,109.97,113.49,768213
2020-10-07,113.54,113.54,110.5,110.9,214339
2020-10-08,111.63,116.48,111.29,114.27,346015
2020-10-09,113.54,114.22,110.99,111.63,153225
2020-10-12,111.34,112.41,108.69,109.53,147768
2020-10-13,108.65,115.3,108.65,114.37,541390
2020-10-14,115.3,115.3,108.94,109.87,389331
2020-10-15,109.72,111.09,106.88,107.62,137284
2020-10-16,107.72,109.62,106.05,107.62,120287
2020-10-19,107.96,110.02,107.32,108.65,125827
